State,Measure ID,Score,Start Date,End Date
TN,HAI_4_SIR,0.949,10/01/2021,09/30/2022
TN,HAI_5_SIR,1.259,10/01/2021,09/30/2022
TN,HAI_6_SIR,0.334,10/01/2021,09/30/2022
TX,HAI_1_SIR,0.812,10/01/2021,09/30/2022
TX,HAI_2_SIR,0.592,10/01/2021,09/30/2022
TX,HAI_3_SIR,0.808,10/01/2021,09/30/2022
TX,HAI_4_SIR,0.918,10/01/2021,09/30/2022
TX,HAI_5_SIR,0.896,10/01/2021,09/30/2022
TX,HAI_6_SIR,0.381,10/01/2021,09/30/2022
UT,HAI_1_SIR,0.794,10/01/2021,09/30/2022
UT,HAI_2_SIR,0.762,10/01/2021,09/30/2022
UT,HAI_3_SIR,0.776,10/01/2021,09/30/2022
UT,HAI_4_SIR,0.807,10/01/2021,09/30/2022
UT,HAI_5_SIR,0.659,10/01/2021,09/30/2022
UT,HAI_6_SIR,0.576,10/01/2021,09/30/2022
VA,HAI_1_SIR,0.834,10/01/2021,09/30/2022
VA,HAI_2_SIR,0.714,10/01/2021,09/30/2022
VA,HAI_3_SIR,0.644,10/01/2021,09/30/2022
VA,HAI_4_SIR,0.892,10/01/2021,09/30/2022
VA,HAI_5_SIR,0.964,10/01/2021,09/30/2022
VA,HAI_6_SIR,0.330,10/01/2021,09/30/2022
VT,HAI_1_SIR,0.662,10/01/2021,09/30/2022
VT,HAI_2_SIR,1.352,10/01/2021,09/30/2022
VT,HAI_3_SIR,1.577,10/01/2021,09/30/2022
VT,HAI_4_SIR,1.229,10/01/2021,09/30/2022
VT,HAI_5_SIR,0.431,10/01/2021,09/30/2022
VT,HAI_6_SIR,0.732,10/01/2021,09/30/2022
WA,HAI_1_SIR,0.887,10/01/2021,09/30/2022
WA,HAI_2_SIR,0.936,10/01/2021,09/30/2022
WA,HAI_3_SIR,0.847,10/01/2021,09/30/2022
WA,HAI_4_SIR,1.057,10/01/2021,09/30/2022
WA,HAI_5_SIR,0.820,10/01/2021,09/30/2022
WA,HAI_6_SIR,0.563,10/01/2021,09/30/2022
WI,HAI_1_SIR,0.762,10/01/2021,09/30/2022
WI,HAI_2_SIR,0.828,10/01/2021,09/30/2022
WI,HAI_3_SIR,0.887,10/01/2021,09/30/2022
WI,HAI_4_SIR,1.182,10/01/2021,09/30/2022
WI,HAI_5_SIR,0.547,10/01/2021,09/30/2022
WI,HAI_6_SIR,0.628,10/01/2021,09/30/2022
WV,HAI_1_SIR,1.127,10/01/2021,09/30/2022
WV,HAI_2_SIR,0.775,10/01/2021,09/30/2022
WV,HAI_3_SIR,1.138,10/01/2021,09/30/2022
WV,HAI_4_SIR,1.027,10/01/2021,09/30/2022
WV,HAI_5_SIR,1.479,10/01/2021,09/30/2022
WV,HAI_6_SIR,0.726,10/01/2021,09/30/2022
WY,HAI_1_SIR,0.785,10/01/2021,09/30/2022
WY,HAI_2_SIR,0.434,10/01/2021,09/30/2022
WY,HAI_3_SIR,0.380,10/01/2021,09/30/2022
WY,HAI_4_SIR,0.632,10/01/2021,09/30/2022
WY,HAI_5_SIR,1.023,10/01/2021,09/30/2022
WY,HAI_6_SIR,0.466,10/01/2021,09/30/2022
